Date;NOx myg/m3;NO myg/m3;NO2 myg/m3;CO mg/m3;O3 myg/m3;SO2 myg/m3
05-03-2017 00:00;81.74;26.39;41.27;0.36;30.61;1.14
05-03-2017 01:00;65.79;20.99;33.6;0.38;33.11;1.36
05-03-2017 02:00;64.76;20.22;33.76;0.35;38.6;1.38
05-03-2017 03:00;58.56;18.83;29.68;0.33;NULL;1.17
05-03-2017 04:00;46.42;14.38;24.37;0.29;44.26;1.04
05-03-2017 05:00;31.44;9.97;16.16;0.27;48.91;0.93
05-03-2017 06:00;NULL;NULL;NULL;NULL;NULL;NULL
05-03-2017 07:00;23.58;7.06;12.76;0.36;51.15;0.72
05-03-2017 08:00;38.5;13.91;17.17;0.29;49.73;0.9
05-03-2017 09:00;33.07;10.39;17.14;0.28;54.18;0.75
05-03-2017 10:00;51.1;16.46;25.86;0.3;48.16;0.93
05-03-2017 11:00;56.59;20.17;25.67;0.28;45.48;1.14
05-03-2017 12:00;74.49;26.97;33.14;0.35;38.58;1.17
05-03-2017 13:00;81.64;29.25;36.8;0.37;33.55;1.17
05-03-2017 14:00;92.68;34.9;39.17;0.47;27.38;1.06
05-03-2017 15:00;110.03;41.02;47.12;0.51;23.19;1.65
05-03-2017 16:00;119.17;45.54;49.34;0.49;21.29;1.7
05-03-2017 17:00;123.78;47.19;51.43;0.44;19.28;1.86
05-03-2017 18:00;95.13;32.63;45.1;0.44;28.32;1.06
05-03-2017 19:00;64.7;22.04;30.91;0.33;36.4;0.69
05-03-2017 20:00;80.46;28.56;36.66;0.38;31.01;0.96
05-03-2017 21:00;65.66;22.28;31.5;0.35;31.95;0.64
05-03-2017 22:00;40.37;13.13;20.23;0.26;42.87;0.27
05-03-2017 23:00;41.64;13.27;21.29;0.24;45.24;0.29
06-03-2017 00:00;21.71;6.85;11.21;0.23;53.76;0.05
06-03-2017 01:00;9.47;3.03;4.82;0.2;NULL;0
06-03-2017 02:00;10.42;2.93;5.93;0.21;58.75;0.13
06-03-2017 03:00;8.38;2.23;4.95;0.21;57.78;0
06-03-2017 04:00;NULL;NULL;NULL;NULL;NULL;NULL
06-03-2017 05:00;29.82;11.82;11.69;0.22;47.62;0.67
06-03-2017 06:00;104.44;39;44.64;0.28;31.23;1.81
06-03-2017 07:00;221.62;98.14;71.15;0.5;17.7;3.46
06-03-2017 08:00;187.08;76.67;69.52;0.49;21.19;3.11
06-03-2017 09:00;201.27;86.75;68.26;0.43;17.08;3.96
06-03-2017 10:00;181.19;74.36;67.17;0.44;21.73;3.17
06-03-2017 11:00;181.86;80.06;59.1;0.41;21.15;3.41
06-03-2017 12:00;197.35;82.7;70.55;0.57;20.7;3.38
06-03-2017 13:00;159.62;63.34;62.5;0.49;22.85;2.95
06-03-2017 14:00;191.25;76.5;73.96;0.41;22.85;3.41
06-03-2017 15:00;159.54;59.1;68.93;0.47;25.86;2.85
06-03-2017 16:00;149.02;59.41;57.93;0.5;26.04;2.85
06-03-2017 17:00;122.73;47.77;49.48;0.47;30.97;2.21
06-03-2017 18:00;89.64;31.31;41.64;0.44;39.4;1.6
06-03-2017 19:00;67.03;21.34;34.31;0.37;44.4;0.96
06-03-2017 20:00;55.75;18.52;27.35;0.33;51.99;0.85
06-03-2017 21:00;45.42;15.04;22.36;0.3;56.62;0.59
06-03-2017 22:00;37.43;12.06;18.93;0.3;58.23;0.45
06-03-2017 23:00;48.73;15.17;25.47;0.3;55.84;0.69
07-03-2017 00:00;20.06;5.85;11.09;0.3;67.16;0.43
07-03-2017 01:00;12.74;3.32;7.65;0.23;71.47;0.16
07-03-2017 02:00;8.59;2.22;5.18;0.22;NULL;0.16
07-03-2017 03:00;5.03;0.91;3.63;0.22;72.94;0.32
07-03-2017 04:00;7.78;1.38;5.66;0.22;71.98;0.27
07-03-2017 05:00;NULL;NULL;NULL;NULL;NULL;NULL
07-03-2017 06:00;49.06;14.48;26.85;0.24;54.98;0.82
07-03-2017 07:00;99.83;35.52;45.36;0.33;42.11;1.62
07-03-2017 08:00;132.59;54.51;49.02;0.34;38.88;2.26
07-03-2017 09:00;91.25;31.68;42.67;0.27;40.61;1.57
07-03-2017 10:00;85.99;25.33;47.14;0.27;43.85;1.25
07-03-2017 11:00;117.96;44.07;50.39;0.27;37.82;0.85
07-03-2017 12:00;119.68;46.67;48.12;0.33;35.9;3.14
07-03-2017 13:00;149.94;61.74;55.27;0.38;29.54;2.93
07-03-2017 14:00;161.09;68.64;55.84;0.42;32.91;2.74
07-03-2017 15:00;151.83;61.79;57.09;0.47;30.16;2.98
07-03-2017 16:00;140.55;50.58;63;0.42;32.11;2.21
07-03-2017 17:00;134.01;44.25;66.15;0.4;32.29;1.81
07-03-2017 18:00;93.23;29.05;48.69;0.34;40.23;1.28
